尺[しゃく] 八[はち],しゃくはち,尺八（源于中国隋唐时代的宫廷，在日本得到传承的竹制吹管乐器）
〜そのもの,,……其本身[尺八そのものより、組織の在り方のほうに問題があった。 / 与其说是尺八本身的问题，还不如说是组织原有的存在方式上的问题。]
在[あ]り 方[かた],ありかた,存在方式、应有的状态
進[しん] 級[きゅう][する],しんきゅう[する],晋级
重[じゅう] 視[し][する],じゅうし[する],重视
疑[ぎ] 問[もん],ぎもん,疑问
持[も]つ,もつ[ぎもんを〜],抱有
疑[ぎ] 問[もん]を 持[も]つ,もつ[ぎもんを〜],抱有疑问
徹[てっ] 底[てい] 的[てき][な],てっていてき[な],彻底[的]
愛[あい] 好[こう] 者[しゃ],あいこうしゃ,爱好者
初[しょ] 演[えん][する],しょえん[する],初次登台表演
〜 人[じん] 口[こう],〜じんこう[しゃくはち〜],……人数
尺[しゃく] 八[はち] 人[じん] 口[こう],〜じんこう[しゃくはち〜],演奏尺八的人数
急[きゅう] 速[そく][な],きゅうそく[な],急速[的]
増[ぞう] 加[か][する],ぞうか[する],增加
いやし,,疗伤、心理安慰
古[ふる] 臭[くさ]い,ふるくさい,陈旧的
斬[ざん] 新[しん][な],ざんしん[な],崭新[的]
先[せん] 入[にゅう] 観[かん],せんにゅうかん,成见
接[せっ]する,せっする,接触、相处
主[しゅ] 張[ちょう][する],しゅちょう[する],主张
財[ざい] 産[さん],ざいさん,财产
国[こく] 籍[せき],こくせき,国籍
目[め]の 色[いろ],めのいろ,眼睛的颜色
すんなり,,轻易地
宝[たから],たから,宝贝
含[ふく]める,ふくめる,包含
伝[でん] 統[とう] 文[ぶん] 化[か],でんとうぶんか,传统文化
イラスト,,插画
レイアウト,,布局
工[く] 夫[ふう][する],くふう[する],下工夫
主[しゅ] 催[さい][する],しゅさい[する],主办
部[ぶ] 門[もん],ぶもん,部门
最[さい]〜,さい〜[〜ゆうしゅうしょう],最……
最[さい]優[ゆう] 秀[しゅう] 賞[しょう],さい〜[〜ゆうしゅうしょう],最优秀奖
広[こう] 報[ほう],こうほう[〜し],宣传、报道
広[こう] 報[ほう] 誌[し],こうほう[〜し],宣传刊物
掲[けい] 載[さい][する],けいさい[する],刊载、登载
初[しょ] 対[たい] 面[めん],しょたいめん,初次见面
終[お]える,おえる,结束
十[じゅう] 両[りょう],じゅうりょう,十两（相扑选手的某一级别，“十両”位于“幕内”和“幕下”这两个级别之间）
相[す] 撲[もう] 部[べ] 屋[や],すもうべや,相扑训练房
抱[ほう] 負[ふ],ほうふ,抱负
機[き] 関[かん] 誌[し],きかんし,机关刊物
光[こう] 栄[えい],こうえい,光荣
実[じっ] 家[か],じっか,娘家
ジュニア,,少年
世[せ] 界[かい] 選[せん] 手[しゅ] 権[けん] 大[たい] 会[かい],せかいせんしゅけんたいかい,世界锦标赛
入[にゅう] 門[もん][する],にゅうもん[する],入门
初[はつ] 土[ど] 俵[ひょう],はつどひょう,首次参加相扑比赛
わずか[な],,仅有[的]
関[せき] 取[と]り,せきとり,关取（十両以上的相扑选手）
順[じゅん] 風[ぷう] 満[まん] 帆[ぱん],じゅんぷうまんぱん,一帆风顺
上[あ]がる,あがる[じゅうりょうに〜],晋升
十[じゅう] 両[りょう]に 上[あ]がる,あがる[じゅうりょうに〜],晋升为十両
命[めい] 日[にち],めいにち,忌日
昇[しょう] 進[しん][する],しょうしん[する],晋升
知[し]らせ,しらせ,通知
さぞ,,想必是、一定是
離[はな]れる,はなれる[こきょうを〜],离开
故[こ] 郷[きょう]を 離[はな]れる,はなれる[こきょうを〜],离开故乡
特[とく] 殊[しゅ][な],とくしゅ[な],特殊[的]
ちゃんこ 鍋[なべ],ちゃんこなべ,相扑锅（一种日本料理）
わがまま[な],,任性[的]
納[なっ] 豆[とう],なっとう,纳豆
いける,,味道可以
四[し] 股[こ] 名[な],しこな,四股名（相扑选手的名号）
力[ちから] 強[づよ]い,ちからづよい,强有力的
響[ひび]き,ひびき,响、音响（效果）、余音
ニックネーム,,绰号、爱称
師[し] 匠[しょう],ししょう,师傅
力[りき] 士[し],りきし,相扑力士、相扑选手
生[う]まれ 変[か]わる,うまれかわる,重生、新生、焕然一新
慣[かん] 習[しゅう],かんしゅう,习惯
報[むく]いる,むくいる,回报
応[おう] 援[えん][する],おうえん[する],声援
さらなる,,进一步的
貴[き] 重[ちょう][な],きちょう[な],贵重[的]
経[けい] 営[えい] 者[しゃ],けいえいしゃ,经营者
手[て] 作[づく]り,てづくり,手工制作
医[い] 師[し],いし,医师
ドキュメンタリー,,纪录片
姿[すがた],すがた,姿态
頼[たよ]る,たよる,依赖
寄[よ]り 添[そ]う,よりそう,贴近、靠近
余[よ] 暇[か],よか,余暇
まとめる,[ないようを〜],归纳
内[ない] 容[よう]を まとめる,[ないようを〜],归纳内容
共[きょう] 同[どう],きょうどう,共同
田[た] 植[う]え,たうえ,插秧
毒[どく]ヘビ,どくへび,毒蛇
毒[どく],どく,毒
ホッとする,,如释重负、松了一口气
腹[はら]が 立[た]つ,はらがたつ,生气
演[えん] 奏[そう] 家[か],えんそうか,演奏家
国[こく] 立[りつ] 大[だい] 学[がく],こくりつだいがく,国立大学
私[し] 立[りつ] 大[だい] 学[がく],しりつだいがく,私立大学
経[けい] 済[ざい] 的[てき][な],けいざいてき[な],经济[的]
学[がく] 費[ひ],がくひ,学费
進[しん] 学[がく][する],しんがく[する],升学
失[しつ] 業[ぎょう][する],しつぎょう[する],失业
悩[なや]む,なやむ,苦恼
引[いん] 退[たい][する],いんたい[する],退役
渡[わた]り 歩[ある]く,わたりあるく,奔走、走遍、转行各种职业
ようやく,,终于
長[ちょう] 時[じ] 間[かん],ちょうじかん,长时间
一[いっ] 致[ち][する],いっち[する],一致
延[えん] 長[ちょう] 戦[せん],えんちょうせん,加时赛
延[えん] 長[ちょう][する],えんちょう[する],加时
交[こう] 渉[しょう][する],こうしょう[する],交涉
アップ[する],,提高
愛[あい] 犬[けん],あいけん,爱犬
とうとう,,终于
母[ぼ] 校[こう],ぼこう,母校
偽[にせ] 物[もの],にせもの,赝品、假货
重[おも]い,おもい[びょうきが〜],重
病[びょう] 気[き]が 重[おも]い,おもい[びょうきが〜],病重
湧[わ]き 起[お]こる,わきおこる,冒出、涌出
柔[やわ]らかい,やわらかい[あたまが〜],灵活
頭[あたま]が 柔[やわ]らかい,やわらかい[あたまが〜],头脑灵活
子[こ] 猫[ねこ],こねこ,小猫
持[も]ち 出[だ]す,もちだす,带出去
拍[はく] 手[しゅ][する],はくしゅ[する],鼓掌、拍手
民[みん] 主[しゅ] 主[しゅ] 義[ぎ],みんしゅしゅぎ,民主主义
運[うん] 動[どう] 神[しん] 経[けい],うんどうしんけい,运动神经
一[いち] 流[りゅう],いちりゅう,一流
[delete]商[しょう] 品[ひん] 開[かい] 発[はつ],しょうひんかいはつ,商品开发
商[しょう] 品[ひん] 開[かい] 発[はつ],しょうひんかいはつ,商品开发
アイス,,冰块、冰淇淋
原[げん] 材[ざい] 料[りょう],げんざいりょう,原材料
試[し] 作[さく] 品[ひん],しさくひん,试验品
失[しっ] 敗[ぱい] 作[さく],しっぱいさく,失败的作品
企[き] 業[ぎょう] 秘[ひ] 密[みつ],きぎょうひみつ,企业机密
ヒント,,暗示、提示
待[ま]ち 遠[とお]しい,まちどおしい,急切地等待
ハープ,,竖琴
優[ゆう] 雅[が][な],ゆうが[な],优雅[的]
奏[かな]でる,かなでる,演奏
背[せ] 丈[たけ],せたけ,身高
枠[わく],わく,框架
張[は]る,はる[げんを〜],绷紧
弦[げん]を 張[は]る,はる[げんを〜],绷紧弦
親[おや] 指[ゆび],おやゆび,拇指
はじく,,弹奏
上[じょう] 半[はん] 身[しん],じょうはんしん,上半身
揺[ゆ]らす,ゆらす,晃动
掛[か]け 合[あ]い,かけあい,互动
リード[する],,引领
現[げん] 地[ち],げんち,当地
付[つ]け 根[ね],つけね,根部
痛[いた]む,いたむ,疼痛
本[ほん] 場[ば],ほんば,正宗
雰[ふん] 囲[い] 気[き],ふんいき,气氛
ふと,,偶然、忽然、突然
ふと耳にした音楽で…,,偶然听到的音乐声
格[かっ] 好[こう] 良[よ]い,かっこ[う]よい,酷、帅
ほれ 込[こ]む,ほれこむ,倾倒、迷上
拍[ひょう] 子[し],ひょうし/〜びょうし,节拍
同[どう] 時[じ] 進[しん] 行[こう][する],どうじしんこう[する],同时进行
番[ばん] 組[ぐみ] 制[せい] 作[さく],ばんぐみせいさく,节目制作
同[どう] 時[じ],どうじ,同时
ラテン 音[おん] 楽[がく],ラテンおんがく,拉丁音乐
渡[わた]る,わたる[げんちに〜],渡，过渡，赶赴
夜[よ] 明[あ]け,よあけ,黎明
即[そっ] 興[きょう] 演[えん] 奏[そう],そっきょうえんそう,即兴演奏
即[そっ] 興[きょう],そっきょう,即兴
バンド,,乐队
加[くわ]わる,くわわる,参加
持[も]ち 味[あじ],もちあじ,固有的味道
武[む] 者[しゃ] 修[しゅ] 行[ぎょう],むしゃしゅぎょう,武者修行
各[かく] 地[ち],かくち,各地
刻[きざ]む,きざむ,刻、雕刻
自[じ] 腹[ばら]を 切[き]る,じばらをきる,自己掏钱、自掏腰包
独[どく] 立[りつ][する],どくりつ[する],独立
交[ま]じる,まじる,加入到（加入到当地一流的乐手圈子中）
感[かん] 激[げき][する],かんげき[する],感激
自[じ] 作[さく],じさく,自己制作
がらくた,,破烂儿
大[おお] 型[がた],おおがた,大型
空[あ]き 缶[かん],あきかん,空罐
バネ,,弹簧
弦[げん] 楽[がく] 器[き],げんがっき,弦乐器
エコー,,回声、混响器
説[せっ] 得[とく][する],せっとく[する],说服
素[そ] 材[ざい],そざい,素材
お 忙[いそが]しいところ、お 時[じ] 間[かん]をいただきありがとうございます。〜と 申[もう]します。,,感谢您在百忙之中接受采访，我叫……
[delete]お 忙[いそが]しいところ、お 時[じ] 間[かん]をいただきありがとうございます。〜と 申[もう]します。,,感谢您在百忙之中接受采访，我叫……
〜に 紹[しょう] 介[かい]させていただきたいと 思[おも]います。,,请允许我向……做个介绍。
まず、 伺[うかが]いたいんですが、……。,,首先，我想问的是……
それにしても、……。,,尽管如此……
何[なに]か 一[ひと] 言[こと]お 願[ねが]いできますでしょうか。,,能不能请您说一句呢？
ますますのご 活[かつ] 躍[やく]を 期[き] 待[たい]しております。,,祝您百尺竿头更进一步。
クリストファー 遥[よう] 盟[めい],,克里斯多夫遥盟（Christopher Yohmei Blasdel）：美国人。日本传统音乐研究家、尺八（日本传统乐器）的演奏家。
蓮[れん] 如[にょ] 賞[しょう],,莲如奖：授予优秀的非小说类作品的文学奖。
竹[ちく] 盟[めい] 社[しゃ],,竹盟社：琴古流尺八（尺八的流派之一）的演奏团体。
武[たけ] 満[みつ] 徹[とおる],,武满彻（1930—1996）：在现代音乐领域世界著名的代表日本的作曲家。
「ノヴェンバー・ステップス」,,《十一月的阶梯》(November Steps)：武满彻在1967年为琵琶、尺八和交响乐队作曲的作品，作者也因此在国际上成名。
臥[が] 牙[が] 丸[まる] 関[ぜき],,卧牙丸关：格鲁吉亚出身的相扑力士（“卧牙丸”为相扑选手的名字，“关”是跟在名字后面的敬称，意思是○○大力士先生。通常把一级相扑力士称为“关取”，也叫他们为“○○关”。）
グルジア,,格鲁吉亚
新[しん] 聞[ぶん]の 文[ぶん] 化[か] 面[めん],ぶんかめん[しんぶんの〜],报刊的文化版面
[delete]新[しん] 聞[ぶん]の 文[ぶん] 化[か] 面[めん],ぶんかめん[しんぶんの〜],报刊的文化版面
ベネズエラ,,委内瑞拉
ボサノバ,,波萨诺伐舞曲：源于巴西桑巴的新派都市风拉丁音乐。
現[げん] 地[ち]に 渡[わた]る,わたる[げんちに〜],赶赴当地
