型[かた],かた,规矩
後[のち] の 人[ひと]々[びと],のちの[ひとびと],后来的人们
おろかな[な],おろかな[な],愚蠢[的]
しのぶ,しのぶ,怀念
でっち 上[あ]げる,でっちあげる,弄出（捏造）
唯[ゆい] 一[いつ],ゆいいつ,唯一
近[ちか] づく,ちかづく[りきゅうへ〜],接近
利[り]休[きゅう]へ 近[ちか] づく,ちかづく[りきゅうへ〜],接近利休
ほんと,ほんと,真的
けっとばす,けっとばす,一脚踢开、踢飞
たしなみ,たしなみ,心得
もと,もと[まちがいの〜],根源
まちがいのもと,もと[まちがいの〜],错误的根源
後[こう] 世[せい],こうせい,后世
残[のこ] す,のこす[こうせいへ〜],留给
後[こう]世[せい]へ 残[のこ] す,のこす[こうせいへ〜],留给后世
凡[ぼん] 人[じん],ぼんじん,凡人
獲[かく] 得[とく][する],かくとく[する],获得
[delete]制[せい] 作[さく] 会[がい] 社[しゃ],せいさくがいしゃ,制作公司
制[せい] 作[さく] 会[がい] 社[しゃ],せいさくがいしゃ,制作公司
志[し] 望[ぼう][する],しぼう[する],志愿
志[し] 望[ぼう] 動[どう] 機[き],しぼうどうき,志愿动机
意[い] 志[し],いし,意志
告[つ]げる,つげる,告诉
当[とう] 社[しゃ],とうしゃ,本公司
御[おん] 社[しゃ],おんしゃ,贵公司
事[じ] 業[ぎょう],じぎょう,事业
農[のう] 産[さん] 物[ぶつ],のうさんぶつ,农产品
調[ちょう] 達[たつ][する],ちょうたつ[する],调配
確[かく] 保[ほ][する],かくほ[する],确保
win-win[な],ウィンウィン[な],双赢[的]
感[かん] 銘[めい][する],かんめい[する],感动、铭记
弊[へい] 社[しゃ],へいしゃ,敝公司
カップ 麺[めん],カップめん,杯面、方便面
出[で] 会[あ]い,であい,邂逅、相遇
香[かお]り,かおり,香气
衝[しょう] 撃[げき] 的[てき][な],しょうげきてき[な],震撼的
自[じ] 炊[すい][する],じすい[する],自己开伙
レトルト 食[しょく] 品[ひん],レトルトしょくひん,真空包装的熟食
手[て]に 入[はい]る,てにはいる,拿到手
贅[ぜい] 沢[たく][な],ぜいたく[な],奢侈[的]
なるほど,なるほど,原来如此
ついていく,[じゅぎょうに〜],跟上
授[じゅ] 業[ぎょう] についていく ,[じゅぎょうに〜],跟上授课进度
流[なが]れる,ながれる,播放
コマーシャルが 流[なが]れる,ながれる,播放广告
科[か] 学[がく] 技[ぎ] 術[じゅつ],かがくぎじゅつ,科学技术
就[つ]く,つく[しごとに〜],就
仕[し] 事[ごと] に 就[つ]く ,つく[しごとに〜],就职
携[たずさ]わる,たずさわる,从事
職[しょく] 種[しゅ],しょくしゅ,工种、职业种类
専[せん] 門[もん] 性[せい],せんもんせい,专业性
専[せん] 攻[こう][する],せんこう[する],专攻、学习的专业
アミノ 酸[さん],アミノさん,氨基酸
卒[そつ] 論[ろん],そつろん,毕业论文
応[おう] 用[よう][する],おうよう[する],应用
実[じつ] 績[せき],じっせき,实际成绩、实际成果
医[い] 薬[やく] 品[ひん],いやくひん,医药品
化[け] 粧[しょう] 品[ひん],けしょうひん,化妆品
健[けん] 康[こう] 食[しょく] 品[ひん],けんこうしょくひん,健康食品
積[つ]む,つむ[けいけんを〜],积累
経[けい]験[けん]を 積[つ]む,つむ[けいけんを〜],积累经验
突[つ]っ 込[こ]む,つっこむ,追问
切[き]り 返[かえ]す,きりかえす,应对
インストラクター,,辅导员
配[はい] 属[ぞく][する],はいぞく[する],安排工作岗位
配[はい] 偶[ぐう] 者[しゃ],はいぐうしゃ,配偶
短[たん] 所[しょ],たんしょ,短处、缺点
長[ちょう] 所[しょ],ちょうしょ,长处、优点
適[てき] 性[せい],てきせい,适应性
有[う] 無[む],うむ,有无
否[ひ] 定[てい] 的[てき][な],ひていてき[な],否定[的]
許[ゆる]す,ゆるす,允许
ねじ,,螺丝钉
人[じん] 工[こう] 衛[えい] 星[せい],じんこうえいせい,人造卫星
J-pop,ジェー・ポップ,日本流行音乐
当[とう] 店[てん],とうてん,本店
ジャンル,,门类、体裁
胸[むね],むね[ははおやの〜],胸怀
母[はは]親[おや]の 胸[むね],むね[ははおやの〜],母亲的胸怀
座[すわ]り 込[こ]む,すわりこむ,坐下不动
協[きょう] 力[りょく][する],きょうりょく[する],合作
別[わか]れ,わかれ[えいえんの〜],别离
永[えい]遠[えん]の 別[わか]れ,わかれ[えいえんの〜],永别
神[かみ],かみ,神
ウォーター,,水
開[かい] 店[てん][する],かいてん[する],开张营业
チーズ,,奶酪
やぎ 乳[にゅう],やぎにゅう,山羊奶
非[ひ] 常[じょう] 用[よう],ひじょうよう,应急用
何[なん]とかなる,なんとかなる,总会有办法的
グラウンド,,操场
前[ぜん] 方[ぽう],ぜんぽう,前方
出[で]る,でる[けつろんが〜],得出
結[けつ] 論[ろん] が 出[で]る,でる[けつろんが〜],得出结论
了[りょう] 承[しょう][する],りょうしょう[する],谅解
起[お]こす,おこす[こうどうを〜],发起
行[こう] 動[どう] を 起[お]こす,おこす[こうどうを〜],发起行动
銭[せん] 湯[とう],せんとう,澡堂
下[げ] 駄[た],げた,(日式的)木屐
押[お]し 切[き]る,おしきる,不顾……
励[はげ]む,はげむ,努力
昔[むかし] 々,むかしむかし,很久以前
失[しつ] 恋[れん][する],しつれん[する],失恋
熱[ねっ] 心[しん][な],ねっしん[な],热心[的]
恐[きょう] 怖[ふ],きょうふ,恐怖
沈[ちん] 黙[もく],ちんもく,沉默
[delete]就[しゅう] 職[しょく] 活[かつ] 動[どう],しゅうしょくかつどう,求职活动
就[しゅう] 職[しょく] 活[かつ] 動[どう],しゅうしょくかつどう,求职活动
比[ひ] 較[かく][する],ひかく[する],比较
従[じゅう] 事[じ][する],じゅうじ[する],从事
推[すい] 薦[せん][する],すいせん[する],推荐
TOEIC,トーイック,英语托业考试
全[ぜん] 力[りょく],ぜんりょく,全力
運[うん] 営[えい][する],うんえい[する],运营
履[り] 歴[れき] 書[しょ],りれきしょ,履历书
特[とく] 技[ぎ],とくぎ,特技
給[きゅう] 与[よ],きゅうよ,工资
岐[き] 路[ろ],きろ,岐路、岔路
最[も] 寄[よ]り,もより,最近(的地方)
道[みち] 筋[すじ],みちすじ,(通过的)道路、路线
ルート,,路线、途经
仕[し] 事[ごと] 場[ば],しごとば,工作场地
遠[とお] 回[まわ]り,とおまわり,迂回、绕远
飲[の]み 会[かい],のみかい,酒会
選[せん] 択[たく][する],せんたく[する],选择
彼[ひ] 我[が],ひが,彼此
効[こう] 率[りつ],こうりつ,效率
通[つう] 行[こう][する],つうこう[する],通行
長[なが] い 目[め],ながいめ,长远的眼光[人生を〜で見る。/风物长宜放眼量。]
人[ひと] 柄[がら],ひとがら,人品
帰[き] 結[けつ],きけつ,归结
旅[たび] 路[じ],たびじ,旅途
いつしか,いつしか,有一天
昆[こん] 虫[ちゅう] 採[さい] 集[しゅう],こんちゅうさいしゅう,昆虫采集
昆[こん] 虫[ちゅう],こんちゅう,昆虫
蝶[ちょう] 道[どう],ちょうどう,蝴蝶固定的飞行路线
網[あみ],あみ,网、昆虫采集网
構[かま]える,かまえる,摆好姿态
アゲハチョウ,,凤蝶
木[こ] 立[だち],こだち,树木
暗[くら]がり,くらがり,阴影
日[にっ] 照[しょう],にっしょう,日照
メス,,雌性
待[ま]ち 構[かま]える,まちかまえる,等待
収[おさ]める,おさめる,收进
理[り] 屈[くつ],りくつ,道理
虫[むし] 網[あみ],むしあみ,捕虫网
[delete]…ことに 感[かん] 銘[めい]を 受[う]け、ぜひ 御[おん] 社[しゃ]で 働[はたら]きたいと 思[おも]いました。, ,因为……而感动，当时我想一定要在贵公司工作。（在求职面试时谈自己的求职动机）
…ことに 感[かん] 銘[めい]を 受[う]け、ぜひ 御[おん] 社[しゃ]で 働[はたら]きたいと 思[おも]いました。, ,因为……而感动，当时我想一定要在贵公司工作。（在求职面试时谈自己的求职动机）
確[たし]かに……。しかし、……。, ,的确……。但……。（附和对方的说法之后，说出自己的意见）
[delete]確[たし]かに……。しかし、……。, ,的确……。但……。（附和对方的说法之后，说出自己的意见）
利[り] 休[きゅう],,利休（1522—1591）：日本安土桃山时代茶道宗师。侍奉织田信长、丰臣秀吉。
世[ぜ] 阿[あ] 弥[み],,世阿弥（1363—1443）：日本室町时代前期的能剧艺人、能剧作者，是能剧的集大成者。
白[しら] 洲[す] 正[まさ] 子[こ],,白洲正子（1910—1998）：随笔家。
プッチーニ,,普契尼（Giacomo Puccini 1858—1924）：意大利作曲家。作品有《蝴蝶夫人》等。
優[ゆう] 先[せん][する],ゆうせん[する],优先
食[しょく] 草[そう],しょくそう,食草
