株[かぶ]式[しき]会[がい]社[しゃ],かぶしきがいしゃ,股份有限公司
木[き]登[のぼ]り,きのぼり,爬树
～など,,……等
しぼる,しぼる,搾（乳を～／挤奶）
入[にゅう]社[しゃ][する],にゅうしゃ[する],进公司（工作）、就职
口[くち]に出[だ]す,くちにだす,挂在嘴上、说出口
我[が]慢[まん][する],がまん[する],忍受、忍耐
我[が]慢[まん]強[つよ]い,がまんづよい,忍耐力强
掃[そう]除[じ]機[き],そうじき,吸尘器
ため息[いき],ためいき,吸息、吸气
あふれる,あふれる,溢出、充満
たまる,,堆积
ごみがたまる,,垃圾堆积
受[じゅ]験[けん]生[せい],じゅけんせい,考生
都[と]心[しん],としん,市中心（主要指东京的中心区）
双[ふた]子[ご],ふたご,双胞胎
世[せ]界[かい]的[てき][な],せかいてき[な],世界性[的]
スター,スター,明星
シーズン,シーズン,旺季
約[やく]～,やく～,约……
割[わ]り,わり,百分比
休[きゅう]暇[か],きゅうか,休假
いとこ,いとこ,表、堂兄弟姐妹
同[どう]士[し],どうし,作为接尾词，表示相互处于同类关系
いとこ同[どう]士[し],どうし,表、堂兄弟姐妹之间
ルーズ[な],ルーズ[な],懒散
売[うり]上[あげ],うりあげ,销售额
落[お]ちる,おちる,下降
売[うり]上[あ]げが落[お]ちる,おちる[うりあげが～],销售额下降
工[こう]学[がく]部[ぶ],こうがくぶ,工科(院)系
入[はい]り直[なお]す,はいりなおす,重新上学
関[かん]係[けい],かんけい,与……相关的
ポテトチップス,,炸土豆片
インスタント食[しょく]品[ひん],インスタントしょくひん,快餐食品
インスタント,,即席、即食、速溶
食[しょく]品[ひん],しょくひん,食品
あきる,,腻(了)
[delete]高[たか]みの見[けん]物[ぶつ],たかみのけんぶつ,袖手旁观、坐山观虎斗
高[たか]みの見[けん]物[ぶつ],たかみのけんぶつ,袖手旁观、坐山观虎斗
気[き]が置[お]けない,きがおけない,彼此不需要客气
大[おお]家[や],おおや,房东
言[い]い訳[わけ],いいわけ[する],申辩、辩解
手[て]土[み]産[やげ],てみやげ,(访问时带去的)礼物
あったま、きちゃったな。, ,生气、恼怒
～奴[やつ],~やつ,……的家伙（用于鄙视的人或亲密的人） 
いい奴[やつ],~やつ,好人
気[き]にかける,きにかける,挂在心上
気[き]を使[つか]う,きをつかう,费心
信[しん]用[よう],しんよう[する],信任、相信
付[つ]き合[あ]う,つきあう,交往、交际
数[かぞ]えきれない,かぞえきれない,数不清
シミュレーション,,模拟、仿真
発[はつ]言[げん],はつげん[する],发言
目[め]にする,めにする,看见
指[し]摘[てき],してき[する],指出、指责
傷[きず]つく,きずつく,伤害、心灵受创
不[ふ]〜,ふ〜,不……
不[ふ]愉[ゆ]快[かい],ふゆかい,不愉快
ふり,,样子、举止
～心[しん],〜しん,……心
親[しん]切[せつ]心[しん],しんせつしん,好意、善意
～性[せい],〜せい,……性
人[にん]間[げん]性[せい],にんげんせい,人性
目[め]下[した],めした,部下、比自己地位低的人
なおさら,なおさら,越发、更是（如此）
外[がい]部[ぶ],がいぶ,外部、本公司之外的（人、场所）
クレーム,クレーム,索賠
何[なに]気[げ]ない,なにげない,若无其事、无意中
受[うけ]け止[とめ]る,うけとめる,接受（意见、建议）
案[あん]ずるより産[う]むが易[やす]し,あんずるよりうむがやすし,担心的事情并不见得难办
反[はん]応[のう][する],はんのう[する],反应
実[じつ]行[こう][する],じっこう[する],执行、实行
かかる,ひようが～,花
～で思い出したんだけど、……。, ,提起……让我想起了……
ところで、～ことだけど、…んだって？, ,哦，对了，你听说了吗？有关……的事儿。
[delete]ところで、～ことだけど、…んだって？, ,哦，对了，你听说了吗？有关……的事儿。
[delte]ところで、～ことだけど、…んだって？, ,哦，对了，你听说了吗？有关……的事儿。
確[たし]かに…ことってよくあるよね。, ,确实，类似……的事经常发生呀。
[delete]確[たし]かに…ことってよくあるよね。, ,确实，类似……的事经常发生呀。
[delete]確[たし]かに…ことってよくあるよね。, ,确实，类似……的事经常发生呀。
つまり、…ってことです。, ,总之……，也就是说……
池[いけ]袋[ぶくろ], ,池袋：东京都丰岛区地名，是JR、私营铁路、地铁的中转站，也是东京都著名的繁华地段。
練[ねり]馬[ま], ,练马：东京都23个区之一，位于东京大城区西北边。
上[うえ]野[の], ,上野：位于东京都台东区西边的繁华地段和休闲娱乐地段。
月[つき]島[しま], ,月岛：东京都中央区靠海的地段。用东京湾沙石填海形成的人造陆地。
青[あお]森[もり],,日本东北地区北部、本州最北端的县。
アーサー・ビナード,,阿瑟·比纳德（Arthur Binard）：美国人，诗人、俳人、随笔作家，旅居日本。1967年出生。
大[おお]分[いた]県[けん],,日本九州地区东北部的一个县。
音[おん]楽[がく]関[かん]係[けい],かんけい[おんがく～],音楽与音乐相关的
伝[つた]わる,つたわる,传达、表达
費[ひ]用[よう]がかかる,ひようが～,产生费用、花钱
